ts,dpid,port,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate_bps,tx_rate_bps,rx_rate_mbps,tx_rate_mbps,drop_ps,err_ps
1762802792.649986,3,1,109262,109027,9364112,9343432,1,0,0,0,1753069.2574997009,1752141.2420117713,1.7530692574997009,1.7521412420117712,0.0,0.0
1762802792.649986,3,2,109196,109090,9357960,9349398,1,0,0,0,1750861.2206491102,1746749.152021561,1.75086122064911,1.746749152021561,0.0,0.0
1762802792.649986,2,1,555,217456,48790,18639414,0,0,0,0,5696.095063842408,3493114.2976343236,0.005696095063842408,3.4931142976343237,0.0,0.0
1762802792.649986,2,2,109168,109273,9356348,9365908,1,0,0,0,1755469.2975546906,1751949.2388073723,1.7554692975546906,1.7519492388073723,0.0,0.0
1762802792.649986,2,3,109090,109196,9349398,9357960,0,0,0,0,1746749.152021561,1750861.2206491102,1.746749152021561,1.75086122064911,0.0,0.0
1762802792.649986,1,1,544,217437,47820,18637820,0,0,0,0,4320.072098981602,3495866.343564045,0.004320072098981602,3.495866343564045,0.0,0.0
1762802792.649986,1,2,109273,109168,9365908,9356348,0,0,0,0,1751949.2388073723,1755469.2975546906,1.7519492388073723,1.7554692975546906,0.0,0.0
1762802792.649986,1,3,109027,109262,9343432,9364112,0,0,0,0,1752141.2420117713,1753069.2574997009,1.7521412420117712,1.7530692574997009,0.0,0.0
1762802793.6499522,3,1,109262,109027,9364112,9343432,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802793.6499522,3,2,109196,109090,9357960,9349398,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802793.6499522,2,1,555,217456,48790,18639414,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802793.6499522,2,2,109168,109273,9356348,9365908,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802793.6499522,2,3,109090,109196,9349398,9357960,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802793.6499522,1,1,544,217437,47820,18637820,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802793.6499522,1,2,109273,109168,9365908,9356348,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802793.6499522,1,3,109027,109262,9343432,9364112,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802794.6499753,3,1,111835,111586,9584590,9562658,1,0,0,0,1763783.2096873904,1753767.441318081,1.7637832096873904,1.753767441318081,0.0,0.0
1762802794.6499753,3,2,111759,111662,9577502,9569686,1,0,0,0,1756295.3828553827,1762263.2448390129,1.7562953828553827,1.7622632448390128,0.0,0.0
1762802794.6499753,2,1,563,222583,49502,19078600,0,0,0,0,5695.8682739204005,3513406.7468398944,0.005695868273920401,3.5134067468398946,0.0,0.0
1762802794.6499753,2,2,111727,111846,9575590,9586286,1,0,0,0,1753895.4383579444,1762983.2281882444,1.7538954383579444,1.7629832281882445,0.0,0.0
1762802794.6499753,2,3,111662,111759,9569686,9577502,0,0,0,0,1762263.2448390129,1756295.3828553827,1.7622632448390128,1.7562953828553827,0.0,0.0
1762802794.6499753,1,1,552,222560,48532,19076846,0,0,0,0,5695.8682739204005,3512126.7764412607,0.005695868273920401,3.512126776441261,0.0,0.0
1762802794.6499753,1,2,111846,111727,9586286,9575590,0,0,0,0,1762983.2281882444,1753895.4383579444,1.7629832281882445,1.7538954383579444,0.0,0.0
1762802794.6499753,1,3,111586,111835,9562658,9584590,0,0,0,0,1753767.441318081,1763783.2096873904,1.753767441318081,1.7637832096873904,0.0,0.0
1762802795.6499884,3,1,111835,111586,9584590,9562658,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802795.6499884,3,2,111759,111662,9577502,9569686,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802795.6499884,2,1,563,222583,49502,19078600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802795.6499884,2,2,111727,111846,9575590,9586286,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802795.6499884,2,3,111662,111759,9569686,9577502,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802795.6499884,1,1,552,222560,48532,19076846,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802795.6499884,1,2,111846,111727,9586286,9575590,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802795.6499884,1,3,111586,111835,9562658,9584590,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802796.649973,3,1,114399,114154,9804170,9782698,1,0,0,0,1756667.2234367188,1760347.2804673268,1.7566672234367189,1.7603472804673268,0.0,0.0
1762802796.649973,3,2,114330,114223,9797800,9789004,1,0,0,0,1762411.312454059,1754571.1909540682,1.762411312454059,1.7545711909540682,0.0,0.0
1762802796.649973,2,1,569,227705,50042,19517612,0,0,0,0,4320.066948974534,3512150.4285244592,0.004320066948974534,3.512150428524459,0.0,0.0
1762802796.649973,2,2,114301,114413,9796078,9806332,1,0,0,0,1763931.3360101797,1760395.2812112041,1.7639313360101798,1.760395281211204,0.0,0.0
1762802796.649973,2,3,114223,114330,9789004,9797800,0,0,0,0,1754571.1909540682,1762411.312454059,1.7545711909540682,1.762411312454059,0.0,0.0
1762802796.649973,1,1,560,227688,49244,19516080,0,0,0,0,5696.0882734627185,3513926.4560479266,0.005696088273462719,3.5139264560479266,0.0,0.0
1762802796.649973,1,2,114413,114301,9806332,9796078,0,0,0,0,1760395.2812112041,1763931.3360101797,1.760395281211204,1.7639313360101798,0.0,0.0
1762802796.649973,1,3,114154,114399,9782698,9804170,0,0,0,0,1760347.2804673268,1756667.2234367188,1.7603472804673268,1.7566672234367189,0.0,0.0
1762802797.6499438,3,1,114399,114154,9804170,9782698,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802797.6499438,3,2,114330,114223,9797800,9789004,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802797.6499438,2,1,569,227705,50042,19517612,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802797.6499438,2,2,114301,114413,9796078,9806332,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802797.6499438,2,3,114223,114330,9789004,9797800,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802797.6499438,1,1,560,227688,49244,19516080,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802797.6499438,1,2,114413,114301,9806332,9796078,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802797.6499438,1,3,114154,114399,9782698,9804170,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802798.6499357,3,1,116971,116716,10024546,10002126,1,0,0,0,1763022.2914671684,1755438.2299890087,1.7630222914671683,1.7554382299890088,0.0,0.0
1762802798.6499357,3,2,116899,116792,10017858,10009210,1,0,0,0,1760478.2708447478,1761662.2804426039,1.7604782708447477,1.7616622804426039,0.0,0.0
1762802798.6499357,2,1,577,232833,50754,19956910,0,0,0,0,5696.046173469996,3514412.488641885,0.005696046173469996,3.5144124886418853,0.0,0.0
1762802798.6499357,2,2,116863,116983,10015568,10026446,1,0,0,0,1755934.2340097323,1760926.274476369,1.7559342340097324,1.760926274476369,0.0,0.0
1762802798.6499357,2,3,116792,116899,10009210,10017858,0,0,0,0,1761662.2804426039,1760478.2708447478,1.7616622804426039,1.7604782708447477,0.0,0.0
1762802798.6499357,1,1,566,232810,49784,19954992,0,0,0,0,4320.035019204773,3511324.463609639,0.004320035019204773,3.5113244636096392,0.0,0.0
1762802798.6499357,1,2,116983,116863,10026446,10015568,0,0,0,0,1760926.274476369,1755934.2340097323,1.760926274476369,1.7559342340097324,0.0,0.0
1762802798.6499357,1,3,116716,116971,10002126,10024546,0,0,0,0,1755438.2299890087,1763022.2914671684,1.7554382299890088,1.7630222914671683,0.0,0.0
1762802799.6499507,3,1,116971,116716,10024546,10002126,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802799.6499507,3,2,116899,116792,10017858,10009210,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802799.6499507,2,1,577,232833,50754,19956910,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
